,,,,,,,,,
,,,     Preview template.,"Button, clicking upon this user can view the template in the pdf viewer.",,,,,
,,,     Download PDF,"Button, clicking upon this user can download the template in the pdf format.",,,,,
,,,     Download Word document.,"Button, clicking upon this user can download the template in the word format.",,,,,
,,,     Search & Filtering,"User can search and filter the list of templates by any keyword. (Recipient type, Tone, Template Title)",,,,,
,,,Letter Personalization Sidebar Section,Allow users to personalize letters for their need by providing following information.,,2,1,,
,,,,User name.,,,,,
,,,,Police force selection.,,,,,
,,,,Postcode.,,,,,
,,,,Additional optional details.,,,,,
,,,,"Personalize: Button, clickign upon this user would be redirected to personalize email page.",,,,,
,,,Personalize Email Page,,,,,,
,,,     Find MP,"Postcode, prefilled from previous page. An API integration would be done to find the details of the MP for the given postcode.",,24,12,,
,,,     Choose Template ,"Dropdown, User can choose the template from the dropdown.",,,,,
,,,     Preview Letter ,User can preview the letter which is choosen from the template,,,,,
,,,,User can edit the letter of the template.,,,,,
,,,,User has the functionality to reset the template on original format.,,,,,
,,,     Send Letter,"Button, clicking upon this user can send the letter to email address to the fetched MP..",,,,,
,,,,Note: In case email is not available the email would not be send.,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,Wall of Remembrance,,,,,,,
,,,Hero Banner,Large full-width banner image/background.,Content would be added from CMS,7,4,,
,,,,Main heading text.,,,,,
,,,,Supporting description text.,,,,,
,,,Candle Count Display,Dynamic remembrance total candle count.,,,,,
,,,Memorial Statistics Strip Section,Below would be dynamic data featched from user activity/content added on website.,,,,,
,,,,Officers & staff remembered,,,,,
,,,,Monthly remembrance average,,,,,
,,,,Forces represented,,,,,
,,,,Candles lit,,,,,
,,,,“Not Forgotten” percentage,,,,,
,,,List of Memorial,"Display list of all the memorial availabe in card/grid format with pagination, searching and sorting functionality. Each card would have following information.","Add/edit/delete memorial.
Reorder list item dynamically.
",6,4,,
,,,,Profile image.,,,,,
,,,,Name.,,,,,
,,,,Role/designation.,,,,,
,,,,Police force.,,,,,
,,,,Birth/death years.,,,,,
,,,,Candle/tribute count.,,,,,
,,,     Action Button,"View Tribute: Button, clicking upon this user would be redirected to detailed page.",,,,,
,,,Memorial Detail Page,Below would be the detailed page of the memorial. Following information would be shown here.,,40,20,,
,,,     Memorial Profile Banner,Large memorial hero section with emotional background image,,,,,
,,,,Full memorial identity display:,,,,,
,,,,Name,,,,,
,,,,Rank/designation,,,,,
,,,,Police force,,,,,
,,,,Birth/death dates,,,,,
,,,,Age,,,,,
,,,     Memorial Quote/Tribute,Family or colleague remembrance quote displayed below profile details.,,,,,
,,,     “Their Story” Section,Full memorial biography/story section.,,,,,
,,,     Photo Gallery Section,Multiple memorial images.,,,,,
,,,,Gallery grid/carousel support.,,,,,
,,,,“View All Photos” CTA: Clicking upon this a modal would open where user can view all the photos added.,,,,,
,,,     Service & Career Timeline Section,Chronological career/service milestones. Each milestone would include following information.,,,,,
,,,,Year/date.,,,,,
,,,,Position/title.,,,,,
,,,,Description of achievements/service.,,,,,
,,,,“View Full Timeline” CTA: Clicking upon this user can Expand full career history.,,,,,
,,,     “Remembered By” Tribute Messages Section,Message section showcasing message in card format. Each Tribute Card Components would consist,,,,,"There should be a clear CTA somehwere that allows users to click to leave a message and it may populate a contact form with a number
of fields. This must be spam-proof and also must allow an admin to moderate any comments that come in to filter out any nasty comments.
Or is there a plugin we can use that will help us moderate them? But also allow us the ability to edit, or delete any messages left."
,,,,Message text.,,,,,
,,,,Visitor/family/colleague name.,,,,,
,,,,Relationship designation (optional).,,,,,
,,,,Slider/Carousel Support: Rotate tribute messages dynamically.,,,,,
,,,     “Light a Candle” Sidebar Section,Users can light memorial candle by clicking on button.,,,,,
,,,     Candle Counter,Display total candles lit.,,,,,
,,,,Counter increases dynamically after interaction.,,,,,
,,,     Tribute Message Submission System,Users can submit personal stories by providing following information.,Tribute Submission CMS Module,,,,
,,,,Tribute By,"List of all the tribute submitted from the website would be shown here with pagination, searching and sorting functionality.",,,,
